rate_date,currency,exchange_rate_to_inr
2025-09-03,AUD,59.07
2025-09-04,USD,92.08
2025-09-04,GBP,118.37
2025-09-04,INR,1.0
2025-09-04,EUR,101.06
2025-09-04,CAD,64.43
2025-09-04,AUD,57.28
2025-09-05,USD,91.92
2025-09-05,GBP,118.91
2025-09-05,INR,1.0
2025-09-05,EUR,104.63
2025-09-05,CAD,62.81
2025-09-05,AUD,58.79
2025-09-06,USD,90.38
2025-09-06,GBP,117.62
2025-09-06,INR,1.0
2025-09-06,EUR,103.57
2025-09-06,CAD,65.11
2025-09-06,AUD,57.22
2025-09-07,USD,92.48
2025-09-07,GBP,119.57
2025-09-07,INR,1.0
2025-09-07,EUR,101.29
2025-09-07,CAD,64.03
2025-09-07,AUD,58.52
2025-09-08,USD,91.17
2025-09-08,GBP,120.93
2025-09-08,INR,1.0
2025-09-08,EUR,104.59
2025-09-08,CAD,64.49
2025-09-08,AUD,58.96
2025-09-09,USD,91.01
2025-09-09,GBP,117.11
2025-09-09,INR,1.0
2025-09-09,EUR,104.65
2025-09-09,CAD,63.02
2025-09-09,AUD,58.44
2025-09-10,USD,92.48
2025-09-10,GBP,119.71
2025-09-10,INR,1.0
2025-09-10,EUR,103.98
2025-09-10,CAD,63.39
2025-09-10,AUD,58.37
2025-09-11,USD,91.94
2025-09-11,GBP,118.03
2025-09-11,INR,1.0
2025-09-11,EUR,105.0
2025-09-11,CAD,64.94
2025-09-11,AUD,57.99
2025-09-12,USD,91.24
2025-09-12,GBP,118.37
2025-09-12,INR,1.0
2025-09-12,EUR,101.98
2025-09-12,CAD,62.98
2025-09-12,AUD,57.34
2025-09-13,USD,89.24
2025-09-13,GBP,119.08
2025-09-13,INR,1.0
2025-09-13,EUR,101.15
2025-09-13,CAD,63.31
2025-09-13,AUD,57.87
2025-09-14,USD,91.2
2025-09-14,GBP,116.96
2025-09-14,INR,1.0
2025-09-14,EUR,102.19
2025-09-14,CAD,63.54
2025-09-14,AUD,56.85
2025-09-15,USD,91.54
2025-09-15,GBP,121.25
2025-09-15,INR,1.0
2025-09-15,EUR,103.94
2025-09-15,CAD,65.12
2025-09-15,AUD,58.55
2025-09-16,USD,90.62
2025-09-16,GBP,118.61
2025-09-16,INR,1.0
2025-09-16,EUR,102.34
2025-09-16,CAD,62.96
2025-09-16,AUD,58.11
2025-09-17,USD,90.14
2025-09-17,GBP,118.89
2025-09-17,INR,1.0
2025-09-17,EUR,104.47
2025-09-17,CAD,64.05
2025-09-17,AUD,58.83
2025-09-18,USD,92.27
2025-09-18,GBP,117.52
2025-09-18,INR,1.0
2025-09-18,EUR,103.03
2025-09-18,CAD,64.65
2025-09-18,AUD,59.04
2025-09-19,USD,91.93
2025-09-19,GBP,116.86
2025-09-19,INR,1.0
2025-09-19,EUR,104.43
2025-09-19,CAD,63.64
2025-09-19,AUD,57.54
2025-09-20,USD,91.6
2025-09-20,GBP,119.27
2025-09-20,INR,1.0
2025-09-20,EUR,101.32
2025-09-20,CAD,63.29
2025-09-20,AUD,58.9
2025-09-21,USD,89.84
2025-09-21,GBP,119.66
2025-09-21,INR,1.0
2025-09-21,EUR,101.63
2025-09-21,CAD,63.18
2025-09-21,AUD,58.48
2025-09-22,USD,89.37
2025-09-22,GBP,118.09
2025-09-22,INR,1.0
2025-09-22,EUR,101.28
2025-09-22,CAD,64.98
2025-09-22,AUD,58.07
2025-09-23,USD,90.17
2025-09-23,GBP,117.71
2025-09-23,INR,1.0
2025-09-23,EUR,102.17
2025-09-23,CAD,64.23
2025-09-23,AUD,57.14
2025-09-24,USD,91.26
2025-09-24,GBP,120.2
2025-09-24,INR,1.0
2025-09-24,EUR,104.7
2025-09-24,CAD,63.87
2025-09-24,AUD,57.83
2025-09-25,USD,91.35
2025-09-25,GBP,118.17
2025-09-25,INR,1.0
2025-09-25,EUR,104.68
2025-09-25,CAD,64.95
2025-09-25,AUD,56.91
2025-09-26,USD,89.98
2025-09-26,GBP,118.85
2025-09-26,INR,1.0
2025-09-26,EUR,102.28
2025-09-26,CAD,64.48
2025-09-26,AUD,58.2
2025-09-27,USD,90.67
2025-09-27,GBP,117.96
2025-09-27,INR,1.0
2025-09-27,EUR,103.81
2025-09-27,CAD,64.09
2025-09-27,AUD,58.77
2025-09-28,USD,91.7
2025-09-28,GBP,119.49
2025-09-28,INR,1.0
2025-09-28,EUR,104.92
2025-09-28,CAD,64.65
2025-09-28,AUD,57.89
2025-09-29,USD,92.68
2025-09-29,GBP,117.75
2025-09-29,INR,1.0
2025-09-29,EUR,104.63
2025-09-29,CAD,63.19
2025-09-29,AUD,57.32
2025-09-30,USD,89.84
2025-09-30,GBP,120.52
2025-09-30,INR,1.0
2025-09-30,EUR,104.01
2025-09-30,CAD,65.15
2025-09-30,AUD,59.11
2025-10-01,USD,91.95
2025-10-01,GBP,119.41
2025-10-01,INR,1.0
2025-10-01,EUR,101.03
2025-10-01,CAD,63.4
2025-10-01,AUD,58.52
2025-10-02,USD,90.81
2025-10-02,GBP,118.87
2025-10-02,INR,1.0
2025-10-02,EUR,101.77
2025-10-02,CAD,63.95
2025-10-02,AUD,57.82
2025-10-03,USD,90.35
2025-10-03,GBP,117.98
2025-10-03,INR,1.0
2025-10-03,EUR,101.94
2025-10-03,CAD,64.75
2025-10-03,AUD,58.67
2025-10-04,USD,92.23
2025-10-04,GBP,117.26
2025-10-04,INR,1.0
2025-10-04,EUR,104.15
2025-10-04,CAD,62.8
2025-10-04,AUD,57.2
2025-10-05,USD,92.48
2025-10-05,GBP,118.09
2025-10-05,INR,1.0
2025-10-05,EUR,102.47
2025-10-05,CAD,62.76
2025-10-05,AUD,59.08
2025-10-06,USD,92.23
2025-10-06,GBP,117.62
2025-10-06,INR,1.0
2025-10-06,EUR,101.94
2025-10-06,CAD,64.81
2025-10-06,AUD,58.3
2025-10-07,USD,90.88
2025-10-07,GBP,120.12
2025-10-07,INR,1.0
2025-10-07,EUR,103.77
2025-10-07,CAD,63.85
2025-10-07,AUD,57.27
2025-10-08,USD,89.98
2025-10-08,GBP,116.83
2025-10-08,INR,1.0
2025-10-08,EUR,104.24
2025-10-08,CAD,63.58
2025-10-08,AUD,56.99
2025-10-09,USD,90.82
2025-10-09,GBP,118.85
2025-10-09,INR,1.0
2025-10-09,EUR,101.78
2025-10-09,CAD,63.64
2025-10-09,AUD,58.87
2025-10-10,USD,91.39
2025-10-10,GBP,119.38
2025-10-10,INR,1.0
2025-10-10,EUR,102.32
2025-10-10,CAD,64.12
2025-10-10,AUD,57.63
2025-10-11,USD,92.54
2025-10-11,GBP,117.54
2025-10-11,INR,1.0
2025-10-11,EUR,103.87
2025-10-11,CAD,63.08
2025-10-11,AUD,57.65
2025-10-12,USD,91.09
2025-10-12,GBP,120.23
2025-10-12,INR,1.0
2025-10-12,EUR,104.99
2025-10-12,CAD,65.16
2025-10-12,AUD,57.43
2025-10-13,USD,89.65
2025-10-13,GBP,119.08
2025-10-13,INR,1.0
2025-10-13,EUR,103.51
2025-10-13,CAD,65.12
2025-10-13,AUD,57.6
2025-10-14,USD,89.59
2025-10-14,GBP,117.47
2025-10-14,INR,1.0
2025-10-14,EUR,101.86
2025-10-14,CAD,64.58
2025-10-14,AUD,58.37
2025-10-15,USD,92.04
2025-10-15,GBP,120.47
2025-10-15,INR,1.0
2025-10-15,EUR,101.24
2025-10-15,CAD,64.87
2025-10-15,AUD,57.91
2025-10-16,USD,92.58
2025-10-16,GBP,119.15
2025-10-16,INR,1.0
2025-10-16,EUR,104.52
2025-10-16,CAD,65.1
2025-10-16,AUD,58.43
2025-10-17,USD,91.74
2025-10-17,GBP,117.35
2025-10-17,INR,1.0
2025-10-17,EUR,102.2
2025-10-17,CAD,64.74
2025-10-17,AUD,57.54
2025-10-18,USD,92.64
2025-10-18,GBP,119.47
2025-10-18,INR,1.0
2025-10-18,EUR,101.25
2025-10-18,CAD,64.19
2025-10-18,AUD,59.09
2025-10-19,USD,89.38
2025-10-19,GBP,120.7
2025-10-19,INR,1.0
2025-10-19,EUR,101.05
2025-10-19,CAD,64.72
2025-10-19,AUD,58.96
2025-10-20,USD,92.58
2025-10-20,GBP,117.34
2025-10-20,INR,1.0
2025-10-20,EUR,103.03
2025-10-20,CAD,64.8
2025-10-20,AUD,57.91
2025-10-21,USD,90.53
2025-10-21,GBP,119.12
2025-10-21,INR,1.0
2025-10-21,EUR,102.56
2025-10-21,CAD,65.13
2025-10-21,AUD,57.55
2025-10-22,USD,92.68
2025-10-22,GBP,116.7
2025-10-22,INR,1.0
2025-10-22,EUR,103.61
2025-10-22,CAD,63.18
2025-10-22,AUD,57.87
2025-10-23,USD,90.25
2025-10-23,GBP,120.36
2025-10-23,INR,1.0
2025-10-23,EUR,102.25
2025-10-23,CAD,63.71
2025-10-23,AUD,57.03
2025-10-24,USD,91.01
2025-10-24,GBP,120.28
2025-10-24,INR,1.0
2025-10-24,EUR,101.02
2025-10-24,CAD,65.19
2025-10-24,AUD,58.97
2025-10-25,USD,92.17
2025-10-25,GBP,116.9
2025-10-25,INR,1.0
2025-10-25,EUR,104.23
2025-10-25,CAD,64.76
2025-10-25,AUD,57.21
2025-10-26,USD,90.02
2025-10-26,GBP,118.37
2025-10-26,INR,1.0
2025-10-26,EUR,104.26
2025-10-26,CAD,64.69
2025-10-26,AUD,59.08
2025-10-27,USD,91.39
2025-10-27,GBP,117.4
2025-10-27,INR,1.0
2025-10-27,EUR,101.47
2025-10-27,CAD,63.94
2025-10-27,AUD,57.49
2025-10-28,USD,91.84
2025-10-28,GBP,121.26
2025-10-28,INR,1.0
2025-10-28,EUR,102.26
2025-10-28,CAD,62.83
2025-10-28,AUD,58.79
2025-10-29,USD,91.21
2025-10-29,GBP,118.74
2025-10-29,INR,1.0
2025-10-29,EUR,102.26
2025-10-29,CAD,63.77
2025-10-29,AUD,57.34
2025-10-30,USD,89.54
2025-10-30,GBP,119.87
2025-10-30,INR,1.0
2025-10-30,EUR,103.34
2025-10-30,CAD,63.02
2025-10-30,AUD,58.02
2025-10-31,USD,91.07
2025-10-31,GBP,118.62
2025-10-31,INR,1.0
2025-10-31,EUR,104.48
2025-10-31,CAD,63.52
2025-10-31,AUD,58.03
2025-11-01,USD,89.39
2025-11-01,GBP,120.86
2025-11-01,INR,1.0
2025-11-01,EUR,104.3
2025-11-01,CAD,63.84
2025-11-01,AUD,58.19
2025-11-02,USD,92.46
2025-11-02,GBP,118.34
2025-11-02,INR,1.0
2025-11-02,EUR,102.13
2025-11-02,CAD,63.22
2025-11-02,AUD,58.76
2025-11-03,USD,91.68
2025-11-03,GBP,120.11
2025-11-03,INR,1.0
2025-11-03,EUR,103.77
2025-11-03,CAD,63.69
2025-11-03,AUD,58.38
2025-11-04,USD,90.69
2025-11-04,GBP,120.48
2025-11-04,INR,1.0
2025-11-04,EUR,103.44
2025-11-04,CAD,63.16
2025-11-04,AUD,57.97
2025-11-05,USD,90.33
2025-11-05,GBP,120.74
2025-11-05,INR,1.0
2025-11-05,EUR,103.9
2025-11-05,CAD,65.22
2025-11-05,AUD,57.12
2025-11-06,USD,91.01
2025-11-06,GBP,119.59
2025-11-06,INR,1.0
2025-11-06,EUR,104.85
2025-11-06,CAD,64.92
2025-11-06,AUD,57.44
2025-11-07,USD,89.2
2025-11-07,GBP,119.98
2025-11-07,INR,1.0
2025-11-07,EUR,103.09
2025-11-07,CAD,63.91
2025-11-07,AUD,57.82
2025-11-08,USD,90.97
2025-11-08,GBP,120.95
2025-11-08,INR,1.0
2025-11-08,EUR,101.57
2025-11-08,CAD,63.9
2025-11-08,AUD,57.17
2025-11-09,USD,91.5
2025-11-09,GBP,118.07
2025-11-09,INR,1.0
2025-11-09,EUR,102.21
2025-11-09,CAD,63.73
2025-11-09,AUD,57.7
2025-11-10,USD,92.45
2025-11-10,GBP,117.14
2025-11-10,INR,1.0
2025-11-10,EUR,102.94
2025-11-10,CAD,63.83
2025-11-10,AUD,58.46
2025-11-11,USD,89.37
2025-11-11,GBP,120.26
2025-11-11,INR,1.0
2025-11-11,EUR,104.29
2025-11-11,CAD,63.21
2025-11-11,AUD,57.43
2025-11-12,USD,91.11
2025-11-12,GBP,119.68
2025-11-12,INR,1.0
2025-11-12,EUR,101.88
2025-11-12,CAD,63.71
2025-11-12,AUD,57.6
2025-11-13,USD,91.96
2025-11-13,GBP,117.01
2025-11-13,INR,1.0
2025-11-13,EUR,103.06
2025-11-13,CAD,63.54
2025-11-13,AUD,58.39
2025-11-14,USD,90.39
2025-11-14,GBP,117.87
2025-11-14,INR,1.0
2025-11-14,EUR,101.59
2025-11-14,CAD,64.03
2025-11-14,AUD,59.15
2025-11-15,USD,90.3
2025-11-15,GBP,120.77
2025-11-15,INR,1.0
2025-11-15,EUR,102.85
2025-11-15,CAD,64.94
2025-11-15,AUD,58.41
2025-11-16,USD,92.63
2025-11-16,GBP,119.13
2025-11-16,INR,1.0
2025-11-16,EUR,102.45
2025-11-16,CAD,65.1
2025-11-16,AUD,57.75
2025-11-17,USD,89.41
2025-11-17,GBP,121.24
2025-11-17,INR,1.0
2025-11-17,EUR,102.84
2025-11-17,CAD,63.9
2025-11-17,AUD,57.36
2025-11-18,USD,92.59
2025-11-18,GBP,119.63
2025-11-18,INR,1.0
2025-11-18,EUR,103.0
2025-11-18,CAD,64.6
2025-11-18,AUD,59.12
2025-11-19,USD,92.39
2025-11-19,GBP,119.73
2025-11-19,INR,1.0
2025-11-19,EUR,104.33
2025-11-19,CAD,63.99
2025-11-19,AUD,58.25
2025-11-20,USD,90.08
2025-11-20,GBP,118.22
2025-11-20,INR,1.0
2025-11-20,EUR,101.84
2025-11-20,CAD,63.26
2025-11-20,AUD,59.0
2025-11-21,USD,90.66
2025-11-21,GBP,119.93
2025-11-21,INR,1.0
2025-11-21,EUR,102.49
2025-11-21,CAD,64.06
2025-11-21,AUD,57.87
2025-11-22,USD,91.57
2025-11-22,GBP,116.9
2025-11-22,INR,1.0
2025-11-22,EUR,101.76
2025-11-22,CAD,63.64
2025-11-22,AUD,58.86
2025-11-23,USD,92.41
2025-11-23,GBP,117.09
2025-11-23,INR,1.0
2025-11-23,EUR,104.88
2025-11-23,CAD,63.02
2025-11-23,AUD,57.06
2025-11-24,USD,91.32
2025-11-24,GBP,117.89
2025-11-24,INR,1.0
2025-11-24,EUR,102.05
2025-11-24,CAD,63.02
2025-11-24,AUD,57.95
2025-11-25,USD,92.46
2025-11-25,GBP,116.98
2025-11-25,INR,1.0
2025-11-25,EUR,102.27
2025-11-25,CAD,64.65
2025-11-25,AUD,58.35
2025-11-26,USD,92.04
2025-11-26,GBP,120.43
2025-11-26,INR,1.0
2025-11-26,EUR,103.72
2025-11-26,CAD,63.48
2025-11-26,AUD,57.55
2025-11-27,USD,89.73
2025-11-27,GBP,117.71
2025-11-27,INR,1.0
2025-11-27,EUR,101.01
2025-11-27,CAD,63.95
2025-11-27,AUD,57.99
2025-11-28,USD,90.49
2025-11-28,GBP,116.83
2025-11-28,INR,1.0
2025-11-28,EUR,103.06
2025-11-28,CAD,64.65
2025-11-28,AUD,59.11
2025-11-29,USD,91.81
2025-11-29,GBP,120.79
2025-11-29,INR,1.0
2025-11-29,EUR,104.38
2025-11-29,CAD,64.73
2025-11-29,AUD,56.98
2025-11-30,USD,91.08
2025-11-30,GBP,119.43
2025-11-30,INR,1.0
2025-11-30,EUR,104.49
2025-11-30,CAD,63.33
2025-11-30,AUD,57.4
2025-12-01,USD,90.97
2025-12-01,GBP,117.81
2025-12-01,INR,1.0
2025-12-01,EUR,102.98
2025-12-01,CAD,62.97
2025-12-01,AUD,58.59
2025-12-02,USD,89.69
2025-12-02,GBP,118.92
2025-12-02,INR,1.0
2025-12-02,EUR,104.32
2025-12-02,CAD,64.75
2025-12-02,AUD,58.23
2025-12-03,USD,89.76
2025-12-03,GBP,120.53
2025-12-03,INR,1.0
2025-12-03,EUR,103.06
2025-12-03,CAD,63.62
2025-12-03,AUD,57.97
2025-12-04,USD,90.63
2025-12-04,GBP,120.47
2025-12-04,INR,1.0
2025-12-04,EUR,104.68
2025-12-04,CAD,63.04
2025-12-04,AUD,57.48
2025-12-05,USD,89.75
2025-12-05,GBP,116.86
2025-12-05,INR,1.0
2025-12-05,EUR,102.49
2025-12-05,CAD,64.5
2025-12-05,AUD,58.23
2025-12-06,USD,89.18
2025-12-06,GBP,118.36
2025-12-06,INR,1.0
2025-12-06,EUR,102.98
2025-12-06,CAD,64.4
2025-12-06,AUD,57.63
2025-12-07,USD,91.3
2025-12-07,GBP,117.1
2025-12-07,INR,1.0
2025-12-07,EUR,102.2
2025-12-07,CAD,65.01
2025-12-07,AUD,57.7
2025-12-08,USD,92.81
2025-12-08,GBP,119.78
2025-12-08,INR,1.0
2025-12-08,EUR,103.67
2025-12-08,CAD,65.1
2025-12-08,AUD,58.79
2025-12-09,USD,91.34
2025-12-09,GBP,117.17
2025-12-09,INR,1.0
2025-12-09,EUR,104.5
2025-12-09,CAD,65.16
2025-12-09,AUD,58.31
2025-12-10,USD,91.06
2025-12-10,GBP,118.04
2025-12-10,INR,1.0
2025-12-10,EUR,102.73
2025-12-10,CAD,63.87
2025-12-10,AUD,57.72
2025-12-11,USD,89.79
2025-12-11,GBP,118.31
2025-12-11,INR,1.0
2025-12-11,EUR,101.86
2025-12-11,CAD,63.28
2025-12-11,AUD,57.97
2025-12-12,USD,92.31
2025-12-12,GBP,121.06
2025-12-12,INR,1.0
2025-12-12,EUR,104.48
2025-12-12,CAD,63.14
2025-12-12,AUD,57.86
2025-12-13,USD,89.49
2025-12-13,GBP,120.64
2025-12-13,INR,1.0
2025-12-13,EUR,102.86
2025-12-13,CAD,63.5
2025-12-13,AUD,58.24
2025-12-14,USD,91.88
2025-12-14,GBP,119.41
2025-12-14,INR,1.0
2025-12-14,EUR,102.78
2025-12-14,CAD,64.89
2025-12-14,AUD,58.41
2025-12-15,USD,90.41
2025-12-15,GBP,116.72
2025-12-15,INR,1.0
2025-12-15,EUR,103.63
2025-12-15,CAD,62.88
2025-12-15,AUD,58.75
2025-12-16,USD,90.68
2025-12-16,GBP,118.24
2025-12-16,INR,1.0
2025-12-16,EUR,101.33
2025-12-16,CAD,63.72
2025-12-16,AUD,59.06
2025-12-17,USD,92.2
2025-12-17,GBP,120.33
2025-12-17,INR,1.0
2025-12-17,EUR,103.12
2025-12-17,CAD,63.68
2025-12-17,AUD,57.54
2025-12-18,USD,91.24
2025-12-18,GBP,119.67
2025-12-18,INR,1.0
2025-12-18,EUR,101.26
2025-12-18,CAD,64.68
2025-12-18,AUD,57.59
2025-12-19,USD,89.71
2025-12-19,GBP,117.66
2025-12-19,INR,1.0
2025-12-19,EUR,104.34
2025-12-19,CAD,64.06
2025-12-19,AUD,58.29
2025-12-20,USD,90.47
2025-12-20,GBP,119.61
2025-12-20,INR,1.0
2025-12-20,EUR,102.08
2025-12-20,CAD,63.69
2025-12-20,AUD,58.11
2025-12-21,USD,91.73
2025-12-21,GBP,119.88
2025-12-21,INR,1.0
2025-12-21,EUR,102.69
2025-12-21,CAD,64.24
2025-12-21,AUD,57.67
2025-12-22,USD,89.56
2025-12-22,GBP,120.01
2025-12-22,INR,1.0
2025-12-22,EUR,103.69
2025-12-22,CAD,65.2
2025-12-22,AUD,58.72
2025-12-23,USD,91.16
2025-12-23,GBP,117.85
2025-12-23,INR,1.0
2025-12-23,EUR,103.72
2025-12-23,CAD,62.73
2025-12-23,AUD,59.11
2025-12-24,USD,91.97
2025-12-24,GBP,118.37
2025-12-24,INR,1.0
2025-12-24,EUR,104.57
2025-12-24,CAD,63.63
2025-12-24,AUD,57.58
2025-12-25,USD,89.36
2025-12-25,GBP,117.43
2025-12-25,INR,1.0
2025-12-25,EUR,102.94
2025-12-25,CAD,62.89
2025-12-25,AUD,58.16
2025-12-26,USD,91.52
2025-12-26,GBP,119.68
2025-12-26,INR,1.0
2025-12-26,EUR,101.93
2025-12-26,CAD,64.39
2025-12-26,AUD,58.48
2025-12-27,USD,89.83
2025-12-27,GBP,119.74
2025-12-27,INR,1.0
2025-12-27,EUR,104.26
2025-12-27,CAD,64.92
2025-12-27,AUD,56.96
2025-12-28,USD,90.49
2025-12-28,GBP,118.14
2025-12-28,INR,1.0
2025-12-28,EUR,101.92
2025-12-28,CAD,64.56
2025-12-28,AUD,58.54
2025-12-29,USD,91.63
2025-12-29,GBP,118.65
2025-12-29,INR,1.0
2025-12-29,EUR,101.67
2025-12-29,CAD,63.11
2025-12-29,AUD,57.54
2025-12-30,USD,90.38
2025-12-30,GBP,119.39
2025-12-30,INR,1.0
2025-12-30,EUR,103.14
2025-12-30,CAD,64.64
2025-12-30,AUD,57.73
2025-12-31,USD,92.3
2025-12-31,GBP,119.6
2025-12-31,INR,1.0
2025-12-31,EUR,104.74
2025-12-31,CAD,65.0
2025-12-31,AUD,58.29
2026-01-01,USD,92.15
2026-01-01,GBP,120.92
2026-01-01,INR,1.0
2026-01-01,EUR,102.48
2026-01-01,CAD,65.27
2026-01-01,AUD,57.5
2026-01-02,USD,89.96
2026-01-02,GBP,119.07
2026-01-02,INR,1.0
2026-01-02,EUR,105.03
2026-01-02,CAD,63.42
2026-01-02,AUD,57.61
2026-01-03,USD,91.37
2026-01-03,GBP,120.59
2026-01-03,INR,1.0
2026-01-03,EUR,103.79
2026-01-03,CAD,64.55
2026-01-03,AUD,59.15
2026-01-04,USD,91.19
2026-01-04,GBP,117.58
2026-01-04,INR,1.0
2026-01-04,EUR,101.16
2026-01-04,CAD,65.16
2026-01-04,AUD,57.16
2026-01-05,USD,91.11
2026-01-05,GBP,121.12
2026-01-05,INR,1.0
2026-01-05,EUR,101.98
2026-01-05,CAD,64.5
2026-01-05,AUD,57.67
2026-01-06,USD,92.03
2026-01-06,GBP,120.93
2026-01-06,INR,1.0
2026-01-06,EUR,101.47
2026-01-06,CAD,64.84
2026-01-06,AUD,58.87
2026-01-07,USD,90.93
2026-01-07,GBP,119.65
2026-01-07,INR,1.0
2026-01-07,EUR,102.3
2026-01-07,CAD,63.62
2026-01-07,AUD,57.31
2026-01-08,USD,92.04
2026-01-08,GBP,116.93
2026-01-08,INR,1.0
2026-01-08,EUR,103.03
2026-01-08,CAD,63.09
2026-01-08,AUD,57.36
2026-01-09,USD,91.6
2026-01-09,GBP,118.22
2026-01-09,INR,1.0
2026-01-09,EUR,101.65
2026-01-09,CAD,64.08
2026-01-09,AUD,57.09
2026-01-10,USD,92.56
2026-01-10,GBP,117.09
2026-01-10,INR,1.0
2026-01-10,EUR,101.54
2026-01-10,CAD,64.09
2026-01-10,AUD,57.81
2026-01-11,USD,90.28
2026-01-11,GBP,119.6
2026-01-11,INR,1.0
2026-01-11,EUR,101.71
2026-01-11,CAD,65.22
2026-01-11,AUD,57.78
2026-01-12,USD,92.1
2026-01-12,GBP,117.14
2026-01-12,INR,1.0
2026-01-12,EUR,104.37
2026-01-12,CAD,64.81
2026-01-12,AUD,58.35
2026-01-13,USD,89.25
2026-01-13,GBP,117.46
2026-01-13,INR,1.0
2026-01-13,EUR,102.19
2026-01-13,CAD,63.92
2026-01-13,AUD,58.9
2026-01-14,USD,91.43
2026-01-14,GBP,117.59
2026-01-14,INR,1.0
2026-01-14,EUR,101.34
2026-01-14,CAD,63.94
2026-01-14,AUD,57.69
2026-01-15,USD,91.92
2026-01-15,GBP,120.72
2026-01-15,INR,1.0
2026-01-15,EUR,102.09
2026-01-15,CAD,64.47
2026-01-15,AUD,58.56
2026-01-16,USD,91.09
2026-01-16,GBP,116.98
2026-01-16,INR,1.0
